0.617760618,0.011970959
29.65250965,0.012405091
41.38996139,0.048465759
54.36293436,0.0845449
67.95366795,0.192403613
84.63320463,0.264423343
100.6949807,0.479974506
117.3745174,0.647688016
131.5830116,0.791441134
151.3513514,1.042932885
167.4131274,1.210637158
182.2393822,1.39028468
204.4787645,1.701621991
222.3938224,1.929162587
244.6332046,2.264423343
266.2548263,2.58771314
294.0540541,2.923057028
310.7335907,3.258234653
331.7374517,3.521706601
353.976834,3.892852524
392.8957529,4.53936746
442.9343629,5.341551052
494.8262548,6.191609244
548.5714286,7.089542037
602.3166023,7.36546526
